x,y
5.180929738267360030e+00,1.081785709636429118e+02
2.813872731424821083e+00,2.531028385364499655e+01
3.629115065227800141e+00,2.909940450219064800e+01
8.439166611612494151e+00,5.504996452784018857e+02
2.320361491751896210e+00,1.945666182653582155e+00
2.151316428655083435e+00,1.969461702236955380e+00
6.066540854025272544e+00,1.368842314857025997e+02
3.770211787721531316e+00,3.318113260441104728e+01
6.736440792659807997e+00,2.061953912344747266e+02
4.642726811143029764e+00,5.356195266006902500e+01
5.551205704181971790e-02,2.655009048320773335e+00
9.990201644545598114e+00,7.878255819907433306e+02
1.300648832141751532e+00,1.833372492134597298e-01
8.837778725507270394e+00,6.416412508459591209e+02
1.895602329823979026e+00,9.079187488967648267e-01
6.258285599952006173e+00,1.689539043720790232e+02
9.650123367403438124e-01,8.903566703114412784e-01
9.640144640954806832e+00,7.387625062951802875e+02
9.453307535253840932e-02,3.326318360277215724e+00
5.839597499191305552e+00,1.248824118135659660e+02
5.339493592146433265e+00,6.687780073814082016e+01
5.070583365421944322e+00,9.380403291466149085e+01
3.775452558105837131e+00,4.070219714504858644e+01
9.035615216334194955e+00,6.067623981258063850e+02
6.239776609451258338e+00,1.764724307643005261e+02
7.931336468976302179e+00,3.548719638590258114e+02
3.348775617033407315e+00,1.514939530084982877e+01
1.538011079739514564e+00,6.753615215818961626e-02
8.015362439267723627e-01,7.293147424430888037e-01
4.482555917891199115e+00,6.116355367129332876e+01
5.170161438773702045e+00,1.049584048239550071e+02
1.345292580092010803e+00,5.786691763088338547e-01
2.332603403817256282e+00,2.222864480290348832e-01
6.564690717571379786e+00,2.553508039327776373e+02
4.249699359442739244e+00,2.647961556882172829e+01
3.064319322880672214e+00,1.499357046761693546e+01
5.134017636654576222e+00,9.596383244256971068e+01
3.152863544326664158e+00,6.801835557694459133e+00
3.017192077606355660e+00,1.400790740543718194e+01
1.152940445266119163e+00,1.094852893330650945e+00
3.471890337615398447e+00,1.440791612657115373e+01
6.843813867214551649e+00,3.083036777870332799e+02
5.111482786370262765e+00,7.325441658774886378e+01
